total_steps,n_surveys,n_drills,n_discoveries,total_reward,avg_belief_drill,discovery_rate,total_spent,reward_per_usd,policy,trial,location
32,8,3,0,-5200.0,0.20000000000000004,0.0,5200,-1.0,random,0,namibia
35,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,1,namibia
19,10,0,0,-5000.0,0.0,0.0,5000,-1.0,random,2,namibia
27,8,3,0,-5200.0,0.20000000000000004,0.0,5200,-1.0,random,3,namibia
22,10,0,0,-5000.0,0.0,0.0,5000,-1.0,random,4,namibia
41,9,2,0,-5300.0,0.2,0.0,5300,-1.0,random,5,namibia
27,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,6,namibia
49,9,3,2,14700.0,0.20000000000000004,0.6666666666666666,4900,3.0,random,7,namibia
23,8,3,0,-5200.0,0.20000000000000004,0.0,5200,-1.0,random,8,namibia
17,8,4,1,4600.0,0.2,0.25,5200,0.8846153846153846,random,9,namibia
22,10,1,0,-5400.0,0.2,0.0,5400,-1.0,random,10,namibia
47,7,5,2,14900.0,0.2,0.4,4700,3.1702127659574466,random,11,namibia
27,10,2,2,14600.0,0.2,1.0,5000,2.92,random,12,namibia
32,7,4,0,-5100.0,0.2,0.0,5100,-1.0,random,13,namibia
30,6,6,2,15000.0,0.19999999999999998,0.3333333333333333,4600,3.260869565217391,random,14,namibia
22,9,2,1,4900.0,0.2,0.5,4900,1.0,random,15,namibia
24,9,2,0,-5300.0,0.2,0.0,5300,-1.0,random,16,namibia
30,7,5,2,14900.0,0.2,0.4,4700,3.1702127659574466,random,17,namibia
24,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,18,namibia
23,9,2,1,4900.0,0.2,0.5,4900,1.0,random,19,namibia
12,9,3,2,14700.0,0.6521739130434783,0.6666666666666666,4900,3.0,greedy,0,namibia
11,8,3,1,5000.0,0.6521739130434783,0.3333333333333333,4800,1.0416666666666667,greedy,1,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,greedy,2,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,3,namibia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,greedy,4,namibia
11,9,2,1,4900.0,0.6521739130434783,0.5,4900,1.0,greedy,5,namibia
11,9,2,1,4900.0,0.6521739130434783,0.5,4900,1.0,greedy,6,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,7,namibia
12,8,4,1,4600.0,0.6521739130434783,0.25,5200,0.8846153846153846,greedy,8,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,9,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,10,namibia
12,9,3,2,14700.0,0.6521739130434783,0.6666666666666666,4900,3.0,greedy,11,namibia
12,9,3,2,14700.0,0.6521739130434783,0.6666666666666666,4900,3.0,greedy,12,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,13,namibia
12,7,5,2,14900.0,0.6521739130434783,0.4,4700,3.1702127659574466,greedy,14,namibia
12,9,3,2,14700.0,0.6521739130434783,0.6666666666666666,4900,3.0,greedy,15,namibia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,greedy,16,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,17,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,greedy,18,namibia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,greedy,19,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,ucb,0,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,ucb,1,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,ucb,2,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,ucb,3,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,ucb,4,namibia
11,8,3,1,5000.0,0.6521739130434783,0.3333333333333333,4800,1.0416666666666667,ucb,5,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,ucb,6,namibia
12,9,3,2,14700.0,0.6521739130434783,0.6666666666666666,4900,3.0,ucb,7,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,ucb,8,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,ucb,9,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,ucb,10,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,ucb,11,namibia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,ucb,12,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,ucb,13,namibia
12,9,3,2,14700.0,0.6521739130434783,0.6666666666666666,4900,3.0,ucb,14,namibia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,ucb,15,namibia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,ucb,16,namibia
12,8,4,2,14800.0,0.6521739130434783,0.5,4800,3.0833333333333335,ucb,17,namibia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,ucb,18,namibia
12,9,3,2,14700.0,0.6521739130434783,0.6666666666666666,4900,3.0,ucb,19,namibia
27,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,0,australia
39,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,1,australia
21,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,2,australia
32,6,7,4,35000.0,0.19999999999999998,0.5714285714285714,4200,8.333333333333334,random,3,australia
19,9,2,1,4900.0,0.2,0.5,4900,1.0,random,4,australia
32,5,8,2,14700.0,0.2,0.25,4900,3.0,random,5,australia
25,8,3,0,-5200.0,0.20000000000000004,0.0,5200,-1.0,random,6,australia
28,10,1,0,-5400.0,0.2,0.0,5400,-1.0,random,7,australia
32,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,8,australia
29,8,3,0,-5200.0,0.20000000000000004,0.0,5200,-1.0,random,9,australia
29,7,4,0,-5100.0,0.2,0.0,5100,-1.0,random,10,australia
29,9,2,1,4900.0,0.2,0.5,4900,1.0,random,11,australia
37,8,4,3,25000.0,0.2,0.75,4400,5.681818181818182,random,12,australia
31,10,1,0,-5400.0,0.2,0.0,5400,-1.0,random,13,australia
22,9,2,0,-5300.0,0.2,0.0,5300,-1.0,random,14,australia
21,9,2,1,4900.0,0.2,0.5,4900,1.0,random,15,australia
29,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,16,australia
33,10,1,1,4800.0,0.2,1.0,5000,0.96,random,17,australia
34,8,3,1,5000.0,0.20000000000000004,0.3333333333333333,4800,1.0416666666666667,random,18,australia
27,8,4,1,4600.0,0.2,0.25,5200,0.8846153846153846,random,19,australia
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,greedy,0,australia
13,8,5,3,24600.0,0.6521739130434783,0.6,4800,5.125,greedy,1,australia
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,2,australia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,greedy,3,australia
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,greedy,4,australia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,greedy,5,australia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,greedy,6,australia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,greedy,7,australia
13,9,4,4,34700.0,0.6521739130434783,1.0,4500,7.711111111111111,greedy,8,australia
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,9,australia
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,greedy,10,australia
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,greedy,11,australia
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,12,australia
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,greedy,13,australia
13,9,4,4,34700.0,0.6521739130434783,1.0,4500,7.711111111111111,greedy,14,australia
13,9,4,4,34700.0,0.6521739130434783,1.0,4500,7.711111111111111,greedy,15,australia
13,8,5,3,24600.0,0.6521739130434783,0.6,4800,5.125,greedy,16,australia
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,greedy,17,australia
13,9,4,4,34700.0,0.6521739130434783,1.0,4500,7.711111111111111,greedy,18,australia
12,8,4,3,25000.0,0.6521739130434783,0.75,4400,5.681818181818182,greedy,19,australia
13,8,5,4,34800.0,0.6521739130434783,0.8,4400,7.909090909090909,ucb,0,australia
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,1,australia
12,9,3,3,24900.0,0.6521739130434783,1.0,4500,5.533333333333333,ucb,2,australia
13,8,5,5,45000.0,0.6521739130434783,1.0,4000,11.25,ucb,3,australia
